Date,Neutral,Anti,Pro
5/24/2008,0,0,0
5/25/2008,0,0,0
5/26/2008,0,0,0
5/27/2008,0,0,0
5/28/2008,0,0,0
5/29/2008,0,0,0
5/30/2008,0,0,0
5/31/2008,0,0,0
6/1/2008,0,0,0
6/2/2008,0,0,0
6/3/2008,0,0,0
6/4/2008,0,0,0
6/5/2008,0,0,0
6/6/2008,0,0,0
6/7/2008,0,0,0
6/8/2008,0,0,0
6/9/2008,0,0,0
6/10/2008,0,0,0
6/11/2008,0,0,0
6/12/2008,0,0,0
6/13/2008,0,0,0
6/14/2008,0,0,0
6/15/2008,0,0,0
6/16/2008,0,0,0
6/17/2008,0,0,0
6/18/2008,0,0,0
6/19/2008,0,0,0
6/20/2008,0,0,0
6/21/2008,0,0,0
6/22/2008,0,0,0
6/23/2008,0,0,0
6/24/2008,0,0,0
6/25/2008,0,0,0
6/26/2008,0,0,0
6/27/2008,0,0,0
6/28/2008,0,0,0
6/29/2008,0,0,0
6/30/2008,0,0,0
7/1/2008,0,0,0
7/2/2008,0,0,0
7/3/2008,0,0,0
7/4/2008,0,0,0
7/5/2008,0,0,0
7/6/2008,0,0,0
7/7/2008,0,0,0
7/8/2008,0,0,0
7/9/2008,0,0,0
7/10/2008,0,0,0
7/11/2008,0,0,0
7/12/2008,0,0,0
7/13/2008,0,0,0
7/14/2008,0,0,0
7/15/2008,0,0,0
7/16/2008,0,0,0
7/17/2008,0,0,0
7/18/2008,0,0,0
7/19/2008,0,0,0
7/20/2008,0,0,0
7/21/2008,0,0,0
7/22/2008,0,0,0
7/23/2008,0,0,0
7/24/2008,0,0,0
7/25/2008,0,0,0
7/26/2008,0,0,0
7/27/2008,0,0,0
7/28/2008,0,0,0
7/29/2008,0,0,0
7/30/2008,0,0,0
7/31/2008,0,0,0
8/1/2008,0,0,0
8/2/2008,0,0,0
8/3/2008,0,0,0
8/4/2008,0,0,0
8/5/2008,0,0,0
8/6/2008,0,0,0
8/7/2008,0,0,0
8/8/2008,0,0,0
8/9/2008,0,0,0
8/10/2008,0,0,0
8/11/2008,0,0,0
8/12/2008,0,0,0
8/13/2008,0,0,0
8/14/2008,0,0,0
8/15/2008,0,0,0
8/16/2008,0,0,0
8/17/2008,0,0,0
8/18/2008,0,0,0
8/19/2008,0,0,0
8/20/2008,0,0,0
8/21/2008,0,0,0
8/22/2008,0,0,0
8/23/2008,0,0,0
8/24/2008,0,0,0
8/25/2008,0,0,0
8/26/2008,0,0,0
8/27/2008,0,0,0
8/28/2008,0,0,0
8/29/2008,0,0,0
8/30/2008,0,0,0
8/31/2008,0,0,0
9/1/2008,0,0,0
9/2/2008,0,0,0
9/3/2008,0,0,0
9/4/2008,0,0,0
9/5/2008,0,0,0
9/6/2008,0,0,0
9/7/2008,0,0,0
9/8/2008,0,0,0
9/9/2008,0,0,0
9/10/2008,0,0,0
9/11/2008,0,0,0
9/12/2008,0,0,0
9/13/2008,0,0,0
9/14/2008,0,0,0
9/15/2008,0,0,0
9/16/2008,0,0,0
9/17/2008,0,0,0
9/18/2008,0,0,0
9/19/2008,0,0,0
9/20/2008,0,0,0
9/21/2008,0,0,0
9/22/2008,0,0,0
9/23/2008,0,0,0
9/24/2008,0,0,0
9/25/2008,0,0,0
9/26/2008,0,0,0
9/27/2008,0,0,0
9/28/2008,0,0,0
9/29/2008,0,0,0
9/30/2008,0,0,0
10/1/2008,0,0,0
10/2/2008,0,0,0
10/3/2008,0,0,0
10/4/2008,0,0,0
10/5/2008,0,0,0
10/6/2008,0,0,0
10/7/2008,0,0,0
10/8/2008,0,0,0
10/9/2008,0,0,0
10/10/2008,0,0,0
10/11/2008,0,0,0
10/12/2008,0,0,0
10/13/2008,0,0,0
10/14/2008,0,0,0
10/15/2008,0,0,0
10/16/2008,0,0,0
10/17/2008,0,0,0
10/18/2008,0,0,0
10/19/2008,0,0,0
10/20/2008,0,0,0
10/21/2008,0,0,0
10/22/2008,0,0,0
10/23/2008,0,0,0
10/24/2008,0,0,0
10/25/2008,0,0,0
10/26/2008,0,0,0
10/27/2008,0,0,0
10/28/2008,0,0,0
10/29/2008,0,0,0
10/30/2008,0,0,0
10/31/2008,0,0,0
11/1/2008,0,0,0
11/2/2008,0,0,0
11/3/2008,0,0,0
11/4/2008,0,0,0
11/5/2008,0,0,0
11/6/2008,0,0,0
11/7/2008,0,0,0
11/8/2008,0,0,0
11/9/2008,0,0,0
11/10/2008,0,0,0
11/11/2008,0,0,0
11/12/2008,0,0,0
11/13/2008,0,0,0
11/14/2008,0,0,0
11/15/2008,0,0,0
11/16/2008,0,0,0
11/17/2008,0,0,0
11/18/2008,0,0,0
11/19/2008,0,0,0
11/20/2008,0,0,0
11/21/2008,0,0,0
11/22/2008,0,0,0
11/23/2008,0,0,0
11/24/2008,0,0,0
