Date,Neutral,Anti,Pro
5/24/2008,0,0,0
5/25/2008,0,0,0
5/26/2008,0,0,0
5/27/2008,0,0,0
5/28/2008,0,0,0
5/29/2008,0,0,0
5/30/2008,0,0,0
5/31/2008,0,0,0
06/01/2008,0,0,0
06/02/2008,0,0,0
06/03/2008,0,0,0
06/04/2008,0,0,0
06/05/2008,0,0,0
06/06/2008,0,0,0
06/07/2008,0,0,0
06/08/2008,0,0,0
06/09/2008,0,0,0
06/10/2008,0,0,0
06/11/2008,0,0,0
06/12/2008,0,0,0
6/13/2008,0,0,0
6/14/2008,0,0,0
6/15/2008,0,0,0
6/16/2008,0,0,0
6/17/2008,0,0,0
6/18/2008,0,0,0
6/19/2008,0,0,0
6/20/2008,0,0,0
6/21/2008,0,0,0
6/22/2008,0,0,0
6/23/2008,0,0,0
6/24/2008,0,0,0
6/25/2008,0,0,0
6/26/2008,0,0,0
6/27/2008,0,0,0
6/28/2008,0,0,0
6/29/2008,0,0,0
6/30/2008,0,0,0
07/01/2008,0,0,0
07/02/2008,0,0,0
07/03/2008,0,0,0
07/04/2008,0,0,0
07/05/2008,0,0,0
07/06/2008,0,0,0
07/07/2008,0,0,0
07/08/2008,0,0,0
07/09/2008,0,0,0
07/10/2008,0,0,0
07/11/2008,0,0,0
07/12/2008,0,0,0
7/13/2008,0,0,0
7/14/2008,0,0,0
7/15/2008,0,0,0
7/16/2008,0,0,0
7/17/2008,0,0,0
7/18/2008,0,0,0
7/19/2008,0,0,0
7/20/2008,0,0,0
7/21/2008,0,0,0
7/22/2008,0,0,0
7/23/2008,0,0,0
7/24/2008,0,0,0
7/25/2008,0,0,0
7/26/2008,0,0,0
7/27/2008,0,0,0
7/28/2008,0,0,0
7/29/2008,0,0,0
7/30/2008,0,0,0
7/31/2008,0,0,0
08/01/2008,0,0,0
08/02/2008,0,0,0
08/03/2008,0,0,0
08/04/2008,0,0,0
08/05/2008,0,0,0
08/06/2008,0,0,0
08/07/2008,0,0,0
08/08/2008,0,0,0
08/09/2008,0,0,0
08/10/2008,0,0,0
08/11/2008,0,0,0
08/12/2008,0,0,0
8/13/2008,0,0,0
8/14/2008,0,0,0
8/15/2008,0,0,0
8/16/2008,0,0,0
8/17/2008,0,0,0
8/18/2008,0,0,0
8/19/2008,0,0,0
8/20/2008,0,0,0
8/21/2008,0,0,0
8/22/2008,0,0,0
8/23/2008,0,0,0
8/24/2008,0,0,0
8/25/2008,0,0,0
8/26/2008,0,0,0
8/27/2008,0,0,0
8/28/2008,0,0,0
8/29/2008,0,0,0
8/30/2008,0,0,0
8/31/2008,0,0,0
09/01/2008,0,0,0
09/02/2008,0,0,0
09/03/2008,0,0,0
09/04/2008,0,0,0
09/05/2008,0,0,0
09/06/2008,0,0,0
09/07/2008,0,0,0
09/08/2008,0,0,0
09/09/2008,0,0,0
09/10/2008,0,0,0
09/11/2008,0,0,0
09/12/2008,0,0,0
9/13/2008,0,0,0
9/14/2008,0,0,0
9/15/2008,0,0,0
9/16/2008,0,0,0
9/17/2008,0,0,0
9/18/2008,0,0,0
9/19/2008,0,0,0
9/20/2008,0,0,0
9/21/2008,0,0,0
9/22/2008,0,0,0
9/23/2008,0,0,0
9/24/2008,0,0,0
9/25/2008,0,0,0
9/26/2008,0,0,0
9/27/2008,0,0,0
9/28/2008,0,0,0
9/29/2008,0,0,0
9/30/2008,0,0,0
10/01/2008,0,0,0
10/02/2008,0,0,0
10/03/2008,0,0,0
10/04/2008,0,0,0
10/05/2008,0,0,0
10/06/2008,0,0,0
10/07/2008,0,0,0
10/08/2008,0,0,0
10/09/2008,0,0,0
10/10/2008,0,0,0
10/11/2008,0,0,0
10/12/2008,0,0,0
10/13/2008,0,0,0
10/14/2008,0,0,0
10/15/2008,0,0,0
10/16/2008,0,0,0
10/17/2008,0,0,0
10/18/2008,0,0,0
10/19/2008,0,0,0
10/20/2008,0,0,0
10/21/2008,0,0,0
10/22/2008,0,0,0
10/23/2008,0,0,0
10/24/2008,0,0,0
10/25/2008,0,0,0
10/26/2008,0,0,0
10/27/2008,0,0,0
10/28/2008,0,0,0
10/29/2008,0,0,0
10/30/2008,0,0,0
10/31/2008,0,0,0
11/01/2008,0,0,0
11/02/2008,0,0,0
11/03/2008,0,0,0
11/04/2008,0,0,0
11/05/2008,0,0,0
11/06/2008,0,0,0
11/07/2008,0,0,0
11/08/2008,0,0,0
11/09/2008,0,0,0
11/10/2008,0,0,0
11/11/2008,0,0,0
11/12/2008,0,0,0
11/13/2008,0,0,0
11/14/2008,0,0,0
11/15/2008,0,0,0
11/16/2008,0,0,0
11/17/2008,0,0,0
11/18/2008,0,0,0
11/19/2008,0,0,0
11/20/2008,0,0,0
11/21/2008,0,0,0
11/22/2008,0,0,0
11/23/2008,0,0,0
11/24/2008,0,0,0
